request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_100,31359.03,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,Installments of 3 payments totaling 38598.57 starting 2024-06-13 complete the request safely within the permitted duration. The projected minimum balance is 50992.84.
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Full payment of 143500 is safe on 2025-11-03 while preserving the required minimum balance. The projected minimum balance is 210382.84.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,Installments of 3 payments totaling 1784.64 starting 2026-04-05 complete the request safely within the permitted duration. The projected minimum balance is 953.84.
request_103,6887.98,not_affordable,not_recommended,none,,none,"No safe option completes the 368300 request within the forecast horizon. The amount safe to pay today is 6887.98, which cannot be completed safely with any available payment plan."
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Full payment of 17204 is safe on 2025-02-04 while preserving the required minimum balance. The projected minimum balance is 29813.63.
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,Full payment of 53500 is safe on 2026-06-08 while preserving the required minimum balance. The projected minimum balance is 87481.88.
request_106,562.84,affordable_later,wait,2025-01-15:2207.70,2025-01-15,none,"Wait until 2025-01-15 to make the full payment of 2207.7, preserving the required minimum balance. The projected minimum balance is 1368.38."
request_107,0,not_affordable,not_recommended,none,,none,"No safe option completes the 2534.4 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_108,4947.66,not_affordable,not_recommended,none,,none,"No safe option completes the 55308 request within the forecast horizon. The amount safe to pay today is 4947.66, which cannot be completed safely with any available payment plan."
request_109,810,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,Installments of 3 payments totaling 1937.94 starting 2024-03-18 complete the request safely within the permitted duration. The projected minimum balance is 2510.
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,Installments of 3 payments totaling 23246.07 starting 2025-08-06 complete the request safely within the permitted duration. The projected minimum balance is 12762.56.
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Full payment of 16625000 is safe on 2026-04-03 while preserving the required minimum balance. The projected minimum balance is 33322494.84.
request_112,0,not_affordable,not_recommended,none,,none,"No safe option completes the 271.7 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_113,36500,affordable_now,full_payment,2026-09-04:36500,2026-09-04,none,Full payment of 36500 is safe on 2026-09-04 while preserving the required minimum balance. The projected minimum balance is 88530.3.
request_114,65300,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,Full payment of 65300 is safe on 2026-01-04 while preserving the required minimum balance. The projected minimum balance is 121814.61.
request_115,16946.71,affordable_later,wait,2024-10-15:80500,2024-10-15,none,"Wait until 2024-10-15 to make the full payment of 80500, preserving the required minimum balance. The projected minimum balance is 46270.13."
request_116,23850.34,not_affordable,not_recommended,none,,none,"No safe option completes the 241200 request within the forecast horizon. The amount safe to pay today is 23850.34, which cannot be completed safely with any available payment plan."
request_117,557.51,not_affordable,not_recommended,none,2026-08-15,none,No safe option completes the 880 request by the desired date. The amount safe to pay today is 557.51.
request_118,736.62,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,Installments of 3 payments totaling 767.61 starting 2024-12-07 complete the request safely within the permitted duration. The projected minimum balance is 899.6.
request_119,0,not_affordable,not_recommended,none,,none,"No safe option completes the 203500 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Full payment of 7714000 is safe on 2026-04-06 while preserving the required minimum balance. The projected minimum balance is 22619480.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Full payment of 633.6 is safe on 2024-03-03 while preserving the required minimum balance. The projected minimum balance is 845.18.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,Installments of 3 payments totaling 21380319.99 starting 2025-08-05 complete the request safely within the permitted duration. The projected minimum balance is 35152778.56.
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Full payment of 4076000 is safe on 2026-01-07 while preserving the required minimum balance. The projected minimum balance is 19819834.55.
request_124,1532.4,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,none,Installments of 3 payments totaling 3228.36 starting 2024-06-11 complete the request safely within the permitted duration. The projected minimum balance is 2056.28.
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,Full payment of 6468 is safe on 2025-11-06 while preserving the required minimum balance. The projected minimum balance is 12171.24.
request_126,82249.04,not_affordable,not_recommended,none,,none,"No safe option completes the 159600 request within the forecast horizon. The amount safe to pay today is 82249.04, which cannot be completed safely with any available payment plan."
request_127,0,not_affordable,not_recommended,none,,none,"No safe option completes the 23980 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Full payment of 25168 is safe on 2025-02-07 while preserving the required minimum balance. The projected minimum balance is 46674.81.
request_129,151.24,not_affordable,not_recommended,none,,none,"No safe option completes the 2668.8 request within the forecast horizon. The amount safe to pay today is 151.24, which cannot be completed safely with any available payment plan."
request_130,464.81,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,"Wait until 2025-02-15 to make the full payment of 1978.8, preserving the required minimum balance. The projected minimum balance is 1864.81."
request_131,0,not_affordable,not_recommended,none,,none,"No safe option completes the 1855.2 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,Full payment of 379.86 is safe on 2026-01-05 while preserving the required minimum balance. The projected minimum balance is 1191.95.
request_133,1710746.49,not_affordable,not_recommended,none,,none,"No safe option completes the 15770000 request within the forecast horizon. The amount safe to pay today is 1710746.49, which cannot be completed safely with any available payment plan."
request_134,6737025.01,affordable_later,wait,2025-09-15:21831000,2025-09-15,none,"Wait until 2025-09-15 to make the full payment of 21831000, preserving the required minimum balance. The projected minimum balance is 20378300.39."
request_135,0,not_affordable,not_recommended,none,,none,"No safe option completes the 304.8 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_136,560.4,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,Full payment of 560.4 is safe on 2024-06-03 while preserving the required minimum balance. The projected minimum balance is 1169.58.
request_137,36833.15,affordable_later,wait,2025-12-15:80100,2025-12-15,none,"Wait until 2025-12-15 to make the full payment of 80100, preserving the required minimum balance. The projected minimum balance is 73904.43."
request_138,916.09,affordable_with_plan,partial_payment,2026-04-07:916.09|2026-04-15:340.85,2026-04-15,none,"A partial payment of 916.09 is safe now, with the remainder of 340.85 scheduled for 2026-04-15. The projected minimum balance is 2300."
request_139,1505.17,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-10-15,none,Installments of 3 payments totaling 2408.64 starting 2024-09-07 complete the request safely within the permitted duration. The projected minimum balance is 1953.6.
request_140,0,not_affordable,not_recommended,none,,none,"No safe option completes the 62832 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_141,37598.84,not_affordable,not_recommended,none,2026-03-15,none,No safe option completes the 171600 request by the desired date. The amount safe to pay today is 37598.84.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,Full payment of 1263.6 is safe on 2024-12-05 while preserving the required minimum balance. The projected minimum balance is 1767.19.
request_143,3352.68,affordable_later,wait,2025-06-15:12584,2025-06-15,none,"Wait until 2025-06-15 to make the full payment of 12584, preserving the required minimum balance. The projected minimum balance is 12681.81."
request_144,0,not_affordable,not_recommended,none,,none,"No safe option completes the 233.34 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_145,61523.43,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-04-15,none,Installments of 3 payments totaling 226095.99 starting 2024-03-20 complete the request safely within the permitted duration. The projected minimum balance is 216923.43.
request_146,25072.28,not_affordable,not_recommended,none,,none,"No safe option completes the 449400 request within the forecast horizon. The amount safe to pay today is 25072.28, which cannot be completed safely with any available payment plan."
